检测次数,购买前余额,购买后余额,单价,动作,时间
1,45052165,45034867,558.0,价格过高,2025-10-19 02:00:51
2,45034867,45021599,428.0,购买成功(200x6),2025-10-19 02:00:58
3,44738799,44721501,558.0,价格过高,2025-10-19 02:01:02
4,44721501,44708233,428.0,购买成功(200x6),2025-10-19 02:01:08
5,44523033,44507595,498.0,价格过高,2025-10-19 02:01:14
6,44507595,44490607,548.0,价格过高,2025-10-19 02:01:20
7,44490607,44473309,558.0,价格过高,2025-10-19 02:01:25
8,44473309,44456011,558.0,价格过高,2025-10-19 02:01:29
9,44456011,44442743,428.0,购买成功(200x6),2025-10-19 02:01:36
10,44165943,44148645,558.0,价格过高,2025-10-19 02:01:40
11,44148645,44131347,558.0,价格过高,2025-10-19 02:01:45
12,44131347,44115599,508.0,价格过高,2025-10-19 02:01:51
13,44115599,44099851,508.0,价格过高,2025-10-19 02:01:55
14,44099851,44084103,508.0,价格过高,2025-10-19 02:02:00
15,44084103,44066805,558.0,价格过高,2025-10-19 02:02:04
16,44066805,44049507,558.0,价格过高,2025-10-19 02:02:09
17,44049507,44034999,468.0,价格过高,2025-10-19 02:02:13
18,44034999,44020181,478.0,价格过高,2025-10-19 02:02:18
19,44020181,44004433,508.0,价格过高,2025-10-19 02:02:22
20,44004433,43991165,428.0,购买成功(200x6),2025-10-19 02:02:29
21,43807785,43791107,538.0,价格过高,2025-10-19 02:02:33
22,43791107,43773809,558.0,价格过高,2025-10-19 02:02:38
23,43773809,43756821,548.0,价格过高,2025-10-19 02:02:42
24,43756821,43739523,558.0,价格过高,2025-10-19 02:02:47
25,43739523,43722535,548.0,价格过高,2025-10-19 02:02:51
26,43722535,43705497,549.6,价格过高,2025-10-19 02:02:56
27,43705497,43688509,548.0,价格过高,2025-10-19 02:03:00
28,43688509,43676171,398.0,购买成功(200x6),2025-10-19 02:03:07
29,43486971,43469673,558.0,价格过高,2025-10-19 02:03:11
30,43469673,43454545,488.0,价格过高,2025-10-19 02:03:16
31,43454545,43437557,548.0,价格过高,2025-10-19 02:03:20
32,43437557,43420569,548.0,价格过高,2025-10-19 02:03:25
33,43420569,43403271,558.0,价格过高,2025-10-19 02:03:29
34,43403271,43386283,548.0,价格过高,2025-10-19 02:03:34
35,43386283,43369915,528.0,价格过高,2025-10-19 02:03:38
36,43369915,43353237,538.0,价格过高,2025-10-19 02:03:44
37,43353237,43335939,558.0,价格过高,2025-10-19 02:03:49
38,43335939,43318951,548.0,价格过高,2025-10-19 02:03:54
39,43318951,43301653,558.0,价格过高,2025-10-19 02:03:58
40,43301653,43284665,548.0,价格过高,2025-10-19 02:04:03
41,43284665,43269537,488.0,价格过高,2025-10-19 02:04:07
42,43269537,43252239,558.0,价格过高,2025-10-19 02:04:12
43,43252239,43234941,558.0,价格过高,2025-10-19 02:04:16
44,43234941,43217643,558.0,价格过高,2025-10-19 02:04:21
45,43217643,43200345,558.0,价格过高,2025-10-19 02:04:25
46,43200345,43187387,418.0,购买成功(200x6),2025-10-19 02:04:32
47,43020187,43006609,438.0,购买成功(200x6),2025-10-19 02:04:38
48,42699809,42682511,558.0,价格过高,2025-10-19 02:04:42
49,42682511,42669553,418.0,购买成功(200x6),2025-10-19 02:04:49
50,42486353,42469055,558.0,价格过高,2025-10-19 02:04:53
51,42469055,42451757,558.0,价格过高,2025-10-19 02:04:58
52,42451757,42434459,558.0,价格过高,2025-10-19 02:05:02
53,42434459,42417161,558.0,价格过高,2025-10-19 02:05:07
54,42417161,42399863,558.0,价格过高,2025-10-19 02:05:11
55,42399863,42382565,558.0,价格过高,2025-10-19 02:05:16
56,42382565,42366197,528.0,价格过高,2025-10-19 02:05:20
57,42366197,42348899,558.0,价格过高,2025-10-19 02:05:25
58,42348899,42331601,558.0,价格过高,2025-10-19 02:05:29
59,42331601,42314613,548.0,价格过高,2025-10-19 02:05:34
60,42314613,42299485,488.0,价格过高,2025-10-19 02:05:40
61,42299485,42282187,558.0,价格过高,2025-10-19 02:05:44
62,42282187,42265199,548.0,价格过高,2025-10-19 02:05:49
63,42265199,42247921,557.4,价格过高,2025-10-19 02:05:53
64,42247921,42233413,468.0,价格过高,2025-10-19 02:05:58
65,42233413,42218285,488.0,价格过高,2025-10-19 02:06:03
66,42218285,42203777,468.0,价格过高,2025-10-19 02:06:07
67,42203777,42188649,488.0,价格过高,2025-10-19 02:06:12
68,42188649,42174141,468.0,价格过高,2025-10-19 02:06:16
69,42174141,42161803,398.0,购买成功(200x6),2025-10-19 02:06:24
70,41863003,41845705,558.0,价格过高,2025-10-19 02:06:28
71,41845705,41831197,468.0,价格过高,2025-10-19 02:06:33
72,41831197,41817619,438.0,购买成功(200x6),2025-10-19 02:06:39
