检测次数,购买前余额,购买后余额,单价,动作,时间
1,63280191,63266613,438.0,价格过高,2025-10-25 03:00:06
2,63266613,63251175,498.0,价格过高,2025-10-25 03:00:12
3,63251175,63234187,548.0,价格过高,2025-10-25 03:00:17
4,63234187,63218749,498.0,价格过高,2025-10-25 03:00:22
5,63218749,63202071,538.0,价格过高,2025-10-25 03:00:27
6,63202071,63188803,428.0,购买成功(200x6),2025-10-25 03:00:35
7,62812023,62798755,428.0,购买成功(200x6),2025-10-25 03:00:43
8,62396205,62380767,498.0,价格过高,2025-10-25 03:00:49
9,62380767,62367499,428.0,购买成功(200x6),2025-10-25 03:00:57
10,62012669,61999401,428.0,购买成功(200x6),2025-10-25 03:01:05
11,61618341,61605383,418.0,购买成功(200x6),2025-10-25 03:01:13
12,61223163,61207725,498.0,价格过高,2025-10-25 03:01:18
13,61207725,61191047,538.0,价格过高,2025-10-25 03:01:23
14,61191047,61175609,498.0,价格过高,2025-10-25 03:01:29
15,61175609,61159241,528.0,价格过高,2025-10-25 03:01:34
16,61159241,61143803,498.0,价格过高,2025-10-25 03:01:39
17,61143803,61128675,488.0,价格过高,2025-10-25 03:01:44
18,61128675,61115717,418.0,购买成功(200x6),2025-10-25 03:01:52
19,60713317,60696639,538.0,价格过高,2025-10-25 03:01:58
20,60696639,60679961,538.0,价格过高,2025-10-25 03:02:03
21,60679961,60663283,538.0,价格过高,2025-10-25 03:02:08
22,60663283,60647225,518.0,价格过高,2025-10-25 03:02:13
23,60647225,60630237,548.0,价格过高,2025-10-25 03:02:21
24,60630237,60615419,478.0,价格过高,2025-10-25 03:02:26
25,60615419,60598741,538.0,价格过高,2025-10-25 03:02:31
26,60598741,60581753,548.0,价格过高,2025-10-25 03:02:36
27,60581753,60566935,478.0,价格过高,2025-10-25 03:02:41
28,60566935,60554597,398.0,购买成功(200x6),2025-10-25 03:02:49
29,60307797,60294839,418.0,购买成功(200x6),2025-10-25 03:02:58
30,60044039,60029221,478.0,价格过高,2025-10-25 03:03:03
31,60029221,60016263,418.0,购买成功(200x6),2025-10-25 03:03:11
32,59735463,59720645,478.0,价格过高,2025-10-25 03:03:16
33,59720645,59703967,538.0,价格过高,2025-10-25 03:03:21
34,59703967,59688839,488.0,价格过高,2025-10-25 03:03:26
35,59688839,59675881,418.0,购买成功(200x6),2025-10-25 03:03:35
36,59401081,59384713,528.0,价格过高,2025-10-25 03:03:40
37,59384713,59368345,528.0,价格过高,2025-10-25 03:03:45
38,59368345,59351357,548.0,价格过高,2025-10-25 03:03:50
39,59351357,59335609,508.0,价格过高,2025-10-25 03:03:55
40,59335609,59322341,428.0,购买成功(200x6),2025-10-25 03:04:03
41,58933501,58917753,508.0,价格过高,2025-10-25 03:04:09
42,58917753,58902005,508.0,价格过高,2025-10-25 03:04:14
43,58902005,58886257,508.0,价格过高,2025-10-25 03:04:19
44,58886257,58870509,508.0,价格过高,2025-10-25 03:04:25
45,58870509,58853831,538.0,价格过高,2025-10-25 03:04:30
46,58853831,58836843,548.0,价格过高,2025-10-25 03:04:35
47,58836843,58820165,538.0,价格过高,2025-10-25 03:04:40
48,58820165,58803487,538.0,价格过高,2025-10-25 03:04:45
