时间戳,总价,单价,行为,配置
2025-10-25 00:59:53,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:54,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:54,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:55,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:55,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:55,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:56,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:56,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:57,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:57,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:58,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:58,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:59,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:59,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:59,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:00,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:00,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:01,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:01,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:02,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:02,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:02,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:03,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:03,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:04,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:04,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:05,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:05,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:06,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:06,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:06,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:07,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:07,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:08,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:08,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:09,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:09,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:09,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:10,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 01:00:10,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
