检测次数,购买前余额,购买后余额,单价,动作,时间
1,39374578,39357900,538.0,价格过高,2025-10-18 02:00:05
2,39357900,39340912,548.0,价格过高,2025-10-18 02:00:11
3,39340912,39324584,526.7,价格过高,2025-10-18 02:00:17
4,39324584,39309456,488.0,价格过高,2025-10-18 02:00:23
5,39309456,39294328,488.0,价格过高,2025-10-18 02:00:29
6,39294328,39281680,408.0,购买成功(200x6),2025-10-18 02:00:39
7,38661550,38644872,538.0,价格过高,2025-10-18 02:00:48
8,38644872,38632224,408.0,购买成功(200x6),2025-10-18 02:00:59
9,38010624,37994876,508.0,价格过高,2025-10-18 02:01:07
10,37994876,37978198,538.0,价格过高,2025-10-18 02:01:14
11,37978198,37961830,528.0,价格过高,2025-10-18 02:01:20
12,37961830,37948252,438.0,购买成功(200x6),2025-10-18 02:01:30
13,37394652,37378904,508.0,价格过高,2025-10-18 02:01:36
14,37378904,37363156,508.0,价格过高,2025-10-18 02:01:42
15,37363156,37349578,438.0,购买成功(200x6),2025-10-18 02:01:52
16,36731978,36716230,508.0,价格过高,2025-10-18 02:01:59
17,36716230,36699862,528.0,价格过高,2025-10-18 02:02:05
18,36699862,36684424,498.0,价格过高,2025-10-18 02:02:11
19,36684424,36667436,548.0,价格过高,2025-10-18 02:02:17
20,36667436,36651998,498.0,价格过高,2025-10-18 02:02:23
21,36651998,36635630,528.0,价格过高,2025-10-18 02:02:29
22,36635630,36618952,538.0,价格过高,2025-10-18 02:02:35
23,36618952,36603514,498.0,价格过高,2025-10-18 02:02:41
24,36603514,36586526,548.0,价格过高,2025-10-18 02:02:47
25,36586526,36572948,438.0,购买成功(200x6),2025-10-18 02:02:58
26,35981878,35964890,548.0,价格过高,2025-10-18 02:03:04
27,35964890,35949452,498.0,价格过高,2025-10-18 02:03:10
28,35949452,35932774,538.0,价格过高,2025-10-18 02:03:18
29,35932774,35917336,498.0,价格过高,2025-10-18 02:03:25
30,35917336,35900658,538.0,价格过高,2025-10-18 02:03:31
31,35900658,35885220,498.0,价格过高,2025-10-18 02:03:37
32,35885220,35870402,478.0,价格过高,2025-10-18 02:03:43
33,35870402,35854964,498.0,价格过高,2025-10-18 02:03:49
34,35854964,35840146,478.0,价格过高,2025-10-18 02:03:55
35,35840146,35824708,498.0,价格过高,2025-10-18 02:04:01
36,35824708,35809890,478.0,价格过高,2025-10-18 02:04:07
37,35809890,35793212,538.0,价格过高,2025-10-18 02:04:13
38,35793212,35778394,478.0,价格过高,2025-10-18 02:04:19
39,35778394,35761406,548.0,价格过高,2025-10-18 02:04:25
40,35761406,35744418,548.0,价格过高,2025-10-18 02:04:31
41,35744418,35729600,478.0,价格过高,2025-10-18 02:04:37
42,35729600,35712612,548.0,价格过高,2025-10-18 02:04:43
43,35712612,35699964,408.0,购买成功(200x6),2025-10-18 02:04:54
44,35130364,35113686,538.0,价格过高,2025-10-18 02:05:00
45,35113686,35097008,538.0,价格过高,2025-10-18 02:05:06
46,35097008,35081570,498.0,价格过高,2025-10-18 02:05:12
47,35081570,35068922,408.0,购买成功(200x6),2025-10-18 02:05:22
48,34655822,34639144,538.0,价格过高,2025-10-18 02:05:29
49,34639144,34623706,498.0,价格过高,2025-10-18 02:05:35
50,34623706,34608268,498.0,价格过高,2025-10-18 02:05:41
51,34608268,34592830,498.0,价格过高,2025-10-18 02:05:47
52,34592830,34576152,538.0,价格过高,2025-10-18 02:05:53
53,34576152,34560714,498.0,价格过高,2025-10-18 02:05:59
54,34560714,34545276,498.0,价格过高,2025-10-18 02:06:05
55,34545276,34528598,538.0,价格过高,2025-10-18 02:06:11
56,34528598,34516570,388.0,购买成功(200x6),2025-10-18 02:06:21
57,33965260,33948892,528.0,价格过高,2025-10-18 02:06:27
58,33948892,33932214,538.0,价格过高,2025-10-18 02:06:34
59,33932214,33915846,528.0,价格过高,2025-10-18 02:06:40
60,33915846,33899168,538.0,价格过高,2025-10-18 02:06:46
61,33899168,33887140,388.0,购买成功(200x6),2025-10-18 02:06:56
62,33251540,33237962,438.0,购买成功(200x6),2025-10-18 02:07:06
63,32704362,32689854,468.0,价格过高,2025-10-18 02:07:12
64,32689854,32672866,548.0,价格过高,2025-10-18 02:07:19
65,32672866,32659288,438.0,购买成功(200x6),2025-10-18 02:07:29
66,32096268,32079900,528.0,价格过高,2025-10-18 02:07:35
67,32079900,32067872,388.0,购买成功(200x6),2025-10-18 02:07:45
68,31520272,31508244,388.0,购买成功(200x6),2025-10-18 02:07:56
69,30922644,30906276,528.0,价格过高,2025-10-18 02:08:02
70,30906276,30890838,498.0,价格过高,2025-10-18 02:08:08
71,30890838,30874470,528.0,价格过高,2025-10-18 02:08:14
72,30874470,30858722,508.0,价格过高,2025-10-18 02:08:23
73,30858722,30842044,538.0,价格过高,2025-10-18 02:08:29
74,30842044,30825676,528.0,价格过高,2025-10-18 02:08:35
75,30825676,30808998,538.0,价格过高,2025-10-18 02:08:41
76,30808998,30792320,538.0,价格过高,2025-10-18 02:08:47
77,30792320,30775332,548.0,价格过高,2025-10-18 02:08:53
78,30775332,30758654,538.0,价格过高,2025-10-18 02:08:59
79,30758654,30741976,538.0,价格过高,2025-10-18 02:09:05
80,30741976,30725298,538.0,价格过高,2025-10-18 02:09:11
81,30725298,30708620,538.0,价格过高,2025-10-18 02:09:17
82,30708620,30694112,468.0,价格过高,2025-10-18 02:09:24
83,30694112,30681464,408.0,购买成功(200x6),2025-10-18 02:09:34
84,30054464,30040266,458.0,价格过高,2025-10-18 02:09:40
85,30040266,30025758,468.0,价格过高,2025-10-18 02:09:46
