检测次数,购买前余额,购买后余额,单价,动作,时间
1,58663014,58647266,508.0,价格过高,2025-10-23 02:00:55
2,58647266,58633068,458.0,价格过高,2025-10-23 02:00:59
3,58633068,58615150,578.0,价格过高,2025-10-23 02:01:03
4,58615150,58597232,578.0,价格过高,2025-10-23 02:01:07
5,58597232,58579004,588.0,价格过高,2025-10-23 02:01:11
6,58579004,58560776,588.0,价格过高,2025-10-23 02:01:15
7,58560776,58546578,458.0,价格过高,2025-10-23 02:01:19
8,58546578,58528970,568.0,价格过高,2025-10-23 02:01:23
9,58528970,58514772,458.0,价格过高,2025-10-23 02:01:28
10,58514772,58497474,558.0,价格过高,2025-10-23 02:01:32
11,58497474,58479556,578.0,价格过高,2025-10-23 02:01:35
12,58479556,58463808,508.0,价格过高,2025-10-23 02:01:39
13,58463808,58446200,568.0,价格过高,2025-10-23 02:01:43
14,58446200,58428902,558.0,价格过高,2025-10-23 02:01:47
15,58428902,58411294,568.0,价格过高,2025-10-23 02:01:51
16,58411294,58395546,508.0,价格过高,2025-10-23 02:01:55
17,58395546,58377938,568.0,价格过高,2025-10-23 02:01:59
18,58377938,58360640,558.0,价格过高,2025-10-23 02:02:03
19,58360640,58344892,508.0,价格过高,2025-10-23 02:02:07
20,58344892,58327594,558.0,价格过高,2025-10-23 02:02:11
21,58327594,58311846,508.0,价格过高,2025-10-23 02:02:15
22,58311846,58294548,558.0,价格过高,2025-10-23 02:02:19
23,58294548,58281900,408.0,购买成功(200x6),2025-10-23 02:02:24
24,58056990,58039072,578.0,价格过高,2025-10-23 02:02:28
25,58039072,58021154,578.0,价格过高,2025-10-23 02:02:32
26,58021154,58003236,578.0,价格过高,2025-10-23 02:02:36
27,58003236,57989038,458.0,价格过高,2025-10-23 02:02:40
28,57989038,57974840,458.0,价格过高,2025-10-23 02:02:43
29,57974840,57957542,558.0,价格过高,2025-10-23 02:02:47
30,57957542,57939934,568.0,价格过高,2025-10-23 02:02:51
31,57939934,57927286,408.0,购买成功(200x6),2025-10-23 02:02:57
32,57754086,57736478,568.0,价格过高,2025-10-23 02:03:01
33,57736478,57718560,578.0,价格过高,2025-10-23 02:03:04
34,57718560,57701262,558.0,价格过高,2025-10-23 02:03:08
35,57701262,57683344,578.0,价格过高,2025-10-23 02:03:12
36,57683344,57670696,408.0,购买成功(200x6),2025-10-23 02:03:18
37,57507496,57489578,578.0,价格过高,2025-10-23 02:03:22
38,57489578,57471660,578.0,价格过高,2025-10-23 02:03:25
39,57471660,57453742,578.0,价格过高,2025-10-23 02:03:29
40,57453742,57439544,458.0,价格过高,2025-10-23 02:03:33
41,57439544,57421626,578.0,价格过高,2025-10-23 02:03:37
42,57421626,57403398,588.0,价格过高,2025-10-23 02:03:41
43,57403398,57385480,578.0,价格过高,2025-10-23 02:03:45
44,57385480,57367252,588.0,价格过高,2025-10-23 02:03:49
45,57367252,57349024,588.0,价格过高,2025-10-23 02:03:53
46,57349024,57331106,578.0,价格过高,2025-10-23 02:03:57
47,57331106,57313188,578.0,价格过高,2025-10-23 02:04:01
48,57313188,57299610,438.0,购买成功(200x6),2025-10-23 02:04:06
49,56954810,56942162,408.0,购买成功(200x6),2025-10-23 02:04:11
50,56744962,56731384,438.0,购买成功(200x6),2025-10-23 02:04:17
51,56618144,56603016,488.0,价格过高,2025-10-23 02:04:21
52,56603016,56585408,568.0,价格过高,2025-10-23 02:04:25
53,56585408,56570280,488.0,价格过高,2025-10-23 02:04:29
54,56570280,56556702,438.0,购买成功(200x6),2025-10-23 02:04:34
55,56353502,56335584,578.0,价格过高,2025-10-23 02:04:38
56,56335584,56320456,488.0,价格过高,2025-10-23 02:04:42
57,56320456,56306878,438.0,购买成功(200x6),2025-10-23 02:04:47
58,56131678,56113760,578.0,价格过高,2025-10-23 02:04:52
59,56113760,56095842,578.0,价格过高,2025-10-23 02:04:56
60,56095842,56077924,578.0,价格过高,2025-10-23 02:05:00
61,56077924,56060006,578.0,价格过高,2025-10-23 02:05:04
62,56060006,56042088,578.0,价格过高,2025-10-23 02:05:08
63,56042088,56023860,588.0,价格过高,2025-10-23 02:05:11
64,56023860,56005942,578.0,价格过高,2025-10-23 02:05:15
65,56005942,55988024,578.0,价格过高,2025-10-23 02:05:19
66,55988024,55972276,508.0,价格过高,2025-10-23 02:05:23
67,55972276,55956528,508.0,价格过高,2025-10-23 02:05:27
68,55956528,55938920,568.0,价格过高,2025-10-23 02:05:31
69,55938920,55923172,508.0,价格过高,2025-10-23 02:05:36
70,55923172,55910524,408.0,购买成功(200x6),2025-10-23 02:05:41
71,55577724,55565696,388.0,购买成功(200x6),2025-10-23 02:05:47
72,55274246,55256328,578.0,价格过高,2025-10-23 02:05:50
73,55256328,55241510,478.0,价格过高,2025-10-23 02:05:54
74,55241510,55224832,538.0,价格过高,2025-10-23 02:05:58
75,55224832,55209084,508.0,价格过高,2025-10-23 02:06:02
76,55209084,55192406,538.0,价格过高,2025-10-23 02:06:06
77,55192406,55175728,538.0,价格过高,2025-10-23 02:06:10
78,55175728,55159050,538.0,价格过高,2025-10-23 02:06:14
79,55159050,55142372,538.0,价格过高,2025-10-23 02:06:18
80,55142372,55125694,538.0,价格过高,2025-10-23 02:06:22
81,55125694,55108086,568.0,价格过高,2025-10-23 02:06:26
82,55108086,55090478,568.0,价格过高,2025-10-23 02:06:30
83,55090478,55072560,578.0,价格过高,2025-10-23 02:06:34
84,55072560,55059912,408.0,购买成功(200x6),2025-10-23 02:06:39
85,54862712,54845104,568.0,价格过高,2025-10-23 02:06:43
86,54845104,54827496,568.0,价格过高,2025-10-23 02:06:47
87,54827496,54809888,568.0,价格过高,2025-10-23 02:06:51
88,54809888,54792280,568.0,价格过高,2025-10-23 02:06:55
89,54792280,54774362,578.0,价格过高,2025-10-23 02:06:59
90,54774362,54756444,578.0,价格过高,2025-10-23 02:07:02
91,54756444,54740696,508.0,价格过高,2025-10-23 02:07:06
92,54740696,54722778,578.0,价格过高,2025-10-23 02:07:10
93,54722778,54704860,578.0,价格过高,2025-10-23 02:07:14
94,54704860,54686942,578.0,价格过高,2025-10-23 02:07:18
95,54686942,54668714,588.0,价格过高,2025-10-23 02:07:22
96,54668714,54654206,468.0,价格过高,2025-10-23 02:07:26
97,54654206,54636288,578.0,价格过高,2025-10-23 02:07:30
98,54636288,54618680,568.0,价格过高,2025-10-23 02:07:34
99,54618680,54605412,428.0,购买成功(200x6),2025-10-23 02:07:39
100,54434212,54419704,468.0,价格过高,2025-10-23 02:07:43
101,54419704,54402716,548.0,价格过高,2025-10-23 02:07:47
102,54402716,54388208,468.0,价格过高,2025-10-23 02:07:51
103,54388208,54371530,538.0,价格过高,2025-10-23 02:07:56
104,54371530,54357952,438.0,购买成功(200x6),2025-10-23 02:08:01
105,54156752,54140074,538.0,价格过高,2025-10-23 02:08:05
106,54140074,54123396,538.0,价格过高,2025-10-23 02:08:09
107,54123396,54106718,538.0,价格过高,2025-10-23 02:08:13
108,54106718,54093450,428.0,购买成功(200x6),2025-10-23 02:08:18
109,53922250,53904892,559.9,价格过高,2025-10-23 02:08:24
110,53904892,53888214,538.0,价格过高,2025-10-23 02:08:28
111,53888214,53870606,568.0,价格过高,2025-10-23 02:08:32
112,53870606,53852688,578.0,价格过高,2025-10-23 02:08:36
113,53852688,53835080,568.0,价格过高,2025-10-23 02:08:40
114,53835080,53821502,438.0,购买成功(200x6),2025-10-23 02:08:45
115,53620302,53602694,568.0,价格过高,2025-10-23 02:08:49
116,53602694,53585086,568.0,价格过高,2025-10-23 02:08:53
117,53585086,53567168,578.0,价格过高,2025-10-23 02:08:57
118,53567168,53549250,578.0,价格过高,2025-10-23 02:09:01
119,53549250,53531332,578.0,价格过高,2025-10-23 02:09:04
120,53531332,53513724,568.0,价格过高,2025-10-23 02:09:08
121,53513724,53499216,468.0,价格过高,2025-10-23 02:09:12
122,53499216,53481298,578.0,价格过高,2025-10-23 02:09:16
123,53481298,53466480,478.0,价格过高,2025-10-23 02:09:20
124,53466480,53448872,568.0,价格过高,2025-10-23 02:09:24
125,53448872,53434054,478.0,价格过高,2025-10-23 02:09:28
126,53434054,53416136,578.0,价格过高,2025-10-23 02:09:32
127,53416136,53398218,578.0,价格过高,2025-10-23 02:09:36
128,53398218,53380300,578.0,价格过高,2025-10-23 02:09:40
129,53380300,53362692,568.0,价格过高,2025-10-23 02:09:44
130,53362692,53345084,568.0,价格过高,2025-10-23 02:09:48
131,53345084,53327476,568.0,价格过高,2025-10-23 02:09:51
132,53327476,53309868,568.0,价格过高,2025-10-23 02:09:55
133,53309868,53297530,398.0,购买成功(200x6),2025-10-23 02:10:01
134,53058730,53041122,568.0,价格过高,2025-10-23 02:10:05
135,53041122,53026924,458.0,价格过高,2025-10-23 02:10:09
136,53026924,53012726,458.0,价格过高,2025-10-23 02:10:13
137,53012726,52995738,548.0,价格过高,2025-10-23 02:10:16
138,52995738,52978130,568.0,价格过高,2025-10-23 02:10:20
139,52978130,52960212,578.0,价格过高,2025-10-23 02:10:24
140,52960212,52942294,578.0,价格过高,2025-10-23 02:10:28
141,52942294,52924376,578.0,价格过高,2025-10-23 02:10:32
142,52924376,52907388,548.0,价格过高,2025-10-23 02:10:36
143,52907388,52889470,578.0,价格过高,2025-10-23 02:10:40
144,52889470,52876512,418.0,购买成功(200x6),2025-10-23 02:10:45
145,52683312,52665394,578.0,价格过高,2025-10-23 02:10:49
146,52665394,52648096,558.0,价格过高,2025-10-23 02:10:53
147,52648096,52631108,548.0,价格过高,2025-10-23 02:10:57
148,52631108,52613500,568.0,价格过高,2025-10-23 02:11:01
149,52613500,52595582,578.0,价格过高,2025-10-23 02:11:05
150,52595582,52577664,578.0,价格过高,2025-10-23 02:11:09
151,52577664,52560056,568.0,价格过高,2025-10-23 02:11:13
152,52560056,52543068,548.0,价格过高,2025-10-23 02:11:17
153,52543068,52526080,548.0,价格过高,2025-10-23 02:11:21
154,52526080,52509092,548.0,价格过高,2025-10-23 02:11:24
155,52509092,52491174,578.0,价格过高,2025-10-23 02:11:28
156,52491174,52473256,578.0,价格过高,2025-10-23 02:11:32
157,52473256,52456268,548.0,价格过高,2025-10-23 02:11:36
158,52456268,52439280,548.0,价格过高,2025-10-23 02:11:40
159,52439280,52424152,488.0,价格过高,2025-10-23 02:11:44
160,52424152,52409024,488.0,价格过高,2025-10-23 02:11:48
161,52409024,52391106,578.0,价格过高,2025-10-23 02:11:52
162,52391106,52378768,398.0,购买成功(200x6),2025-10-23 02:11:57
163,52201568,52185820,508.0,价格过高,2025-10-23 02:12:01
164,52185820,52173482,398.0,购买成功(200x6),2025-10-23 02:12:06
165,52059882,52047544,398.0,购买成功(200x6),2025-10-23 02:12:12
166,51820344,51804596,508.0,价格过高,2025-10-23 02:12:16
167,51804596,51791328,428.0,购买成功(200x6),2025-10-23 02:12:21
168,51620128,51604380,508.0,价格过高,2025-10-23 02:12:25
169,51604380,51586462,578.0,价格过高,2025-10-23 02:12:29
170,51586462,51568544,578.0,价格过高,2025-10-23 02:12:33
171,51568544,51550936,568.0,价格过高,2025-10-23 02:12:37
172,51550936,51533018,578.0,价格过高,2025-10-23 02:12:41
173,51533018,51515410,568.0,价格过高,2025-10-23 02:12:45
174,51515410,51502142,428.0,购买成功(200x6),2025-10-23 02:12:50
175,51187342,51169424,578.0,价格过高,2025-10-23 02:12:54
176,51169424,51151816,568.0,价格过高,2025-10-23 02:12:58
177,51151816,51134208,568.0,价格过高,2025-10-23 02:13:02
178,51134208,51118460,508.0,价格过高,2025-10-23 02:13:06
179,51118460,51105192,428.0,购买成功(200x6),2025-10-23 02:13:11
180,50939992,50922384,568.0,价格过高,2025-10-23 02:13:15
181,50922384,50904466,578.0,价格过高,2025-10-23 02:13:19
182,50904466,50888718,508.0,价格过高,2025-10-23 02:13:23
183,50888718,50871110,568.0,价格过高,2025-10-23 02:13:27
184,50871110,50855362,508.0,价格过高,2025-10-23 02:13:31
185,50855362,50838684,538.0,价格过高,2025-10-23 02:13:34
186,50838684,50826346,398.0,购买成功(200x6),2025-10-23 02:13:40
187,50667146,50649538,568.0,价格过高,2025-10-23 02:13:44
188,50649538,50633790,508.0,价格过高,2025-10-23 02:13:48
189,50633790,50616492,558.0,价格过高,2025-10-23 02:13:51
190,50616492,50602914,438.0,购买成功(200x6),2025-10-23 02:13:57
191,50399714,50382416,558.0,价格过高,2025-10-23 02:14:01
192,50382416,50365448,547.4,价格过高,2025-10-23 02:14:06
193,50365448,50347840,568.0,价格过高,2025-10-23 02:14:09
194,50347840,50329922,578.0,价格过高,2025-10-23 02:14:14
195,50329922,50312004,578.0,价格过高,2025-10-23 02:14:18
196,50312004,50297186,478.0,价格过高,2025-10-23 02:14:22
197,50297186,50279578,568.0,价格过高,2025-10-23 02:14:26
198,50279578,50261970,568.0,价格过高,2025-10-23 02:14:30
200,50247152,50229544,568.0,价格过高,2025-10-23 02:14:41
201,50229544,50215966,438.0,购买成功(200x6),2025-10-23 02:14:46
202,50012766,49995158,568.0,价格过高,2025-10-23 02:14:50
203,49995158,49982820,398.0,购买成功(200x6),2025-10-23 02:14:55
204,49755620,49740492,488.0,价格过高,2025-10-23 02:14:59
205,49740492,49722884,568.0,价格过高,2025-10-23 02:15:03
206,49722884,49704966,578.0,价格过高,2025-10-23 02:15:08
207,49704966,49687048,578.0,价格过高,2025-10-23 02:15:13
208,49687048,49669130,578.0,价格过高,2025-10-23 02:15:17
209,49669130,49654002,488.0,价格过高,2025-10-23 02:15:21
210,49654002,49636084,578.0,价格过高,2025-10-23 02:15:25
211,49636084,49617856,588.0,价格过高,2025-10-23 02:15:29
212,49617856,49599938,578.0,价格过高,2025-10-23 02:15:32
213,49599938,49582020,578.0,价格过高,2025-10-23 02:15:36
214,49582020,49567202,478.0,价格过高,2025-10-23 02:15:40
215,49567202,49548974,588.0,价格过高,2025-10-23 02:15:44
216,49548974,49534156,478.0,价格过高,2025-10-23 02:15:49
217,49534156,49516238,578.0,价格过高,2025-10-23 02:15:53
218,49516238,49498320,578.0,价格过高,2025-10-23 02:15:57
219,49498320,49480402,578.0,价格过高,2025-10-23 02:16:01
220,49480402,49462484,578.0,价格过高,2025-10-23 02:16:05
221,49462484,49444876,568.0,价格过高,2025-10-23 02:16:09
222,49444876,49427398,563.8,价格过高,2025-10-23 02:16:13
223,49427398,49412580,478.0,价格过高,2025-10-23 02:16:16
224,49412580,49394662,578.0,价格过高,2025-10-23 02:16:20
225,49394662,49377054,568.0,价格过高,2025-10-23 02:16:24
226,49377054,49359756,558.0,价格过高,2025-10-23 02:16:28
227,49359756,49341528,588.0,价格过高,2025-10-23 02:16:33
228,49341528,49324230,558.0,价格过高,2025-10-23 02:16:37
229,49324230,49306932,558.0,价格过高,2025-10-23 02:16:41
230,49306932,49288704,588.0,价格过高,2025-10-23 02:16:45
231,49288704,49271406,558.0,价格过高,2025-10-23 02:16:49
232,49271406,49254108,558.0,价格过高,2025-10-23 02:16:53
233,49254108,49236810,558.0,价格过高,2025-10-23 02:16:57
234,49236810,49218892,578.0,价格过高,2025-10-23 02:17:01
235,49218892,49201284,568.0,价格过高,2025-10-23 02:17:04
236,49201284,49183366,578.0,价格过高,2025-10-23 02:17:08
237,49183366,49165448,578.0,价格过高,2025-10-23 02:17:12
238,49165448,49147530,578.0,价格过高,2025-10-23 02:17:16
239,49147530,49129612,578.0,价格过高,2025-10-23 02:17:20
240,49129612,49111384,588.0,价格过高,2025-10-23 02:17:25
241,49111384,49093466,578.0,价格过高,2025-10-23 02:17:29
242,49093466,49075548,578.0,价格过高,2025-10-23 02:17:33
243,49075548,49057630,578.0,价格过高,2025-10-23 02:17:37
244,49057630,49044052,438.0,购买成功(200x6),2025-10-23 02:17:42
245,48725252,48707644,568.0,价格过高,2025-10-23 02:17:46
246,48707644,48694066,438.0,购买成功(200x6),2025-10-23 02:17:51
247,48518866,48504358,468.0,价格过高,2025-10-23 02:17:55
248,48504358,48489850,468.0,价格过高,2025-10-23 02:17:59
249,48489850,48471932,578.0,价格过高,2025-10-23 02:18:04
250,48471932,48454014,578.0,价格过高,2025-10-23 02:18:08
251,48454014,48436406,568.0,价格过高,2025-10-23 02:18:12
252,48436406,48418178,588.0,价格过高,2025-10-23 02:18:17
253,48418178,48400260,578.0,价格过高,2025-10-23 02:18:20
254,48400260,48385752,468.0,价格过高,2025-10-23 02:18:24
255,48385752,48367834,578.0,价格过高,2025-10-23 02:18:28
256,48367834,48351156,538.0,价格过高,2025-10-23 02:18:32
257,48351156,48332928,588.0,价格过高,2025-10-23 02:18:36
258,48332928,48314700,588.0,价格过高,2025-10-23 02:18:40
259,48314700,48298952,508.0,价格过高,2025-10-23 02:18:44
260,48298952,48282274,538.0,价格过高,2025-10-23 02:18:48
261,48282274,48264666,568.0,价格过高,2025-10-23 02:18:52
262,48264666,48251088,438.0,购买成功(200x6),2025-10-23 02:18:57
263,48061888,48043660,588.0,价格过高,2025-10-23 02:19:01
264,48043660,48026672,548.0,价格过高,2025-10-23 02:19:05
265,48026672,48009064,568.0,价格过高,2025-10-23 02:19:09
266,48009064,47995486,438.0,购买成功(200x6),2025-10-23 02:19:14
