检测次数,购买前余额,购买后余额,单价,动作,时间
1,56113159,56098031,488.0,价格过高,2025-10-22 02:00:32
2,56098031,56080423,568.0,价格过高,2025-10-22 02:00:36
3,56080423,56063745,538.0,价格过高,2025-10-22 02:00:40
4,56063745,56046137,568.0,价格过高,2025-10-22 02:00:44
5,56046137,56033489,408.0,购买成功(200x10),2025-10-22 02:00:50
6,55585089,55569961,488.0,价格过高,2025-10-22 02:00:54
7,55569961,55554833,488.0,价格过高,2025-10-22 02:00:59
8,55554833,55541875,418.0,购买成功(200x10),2025-10-22 02:01:05
9,55131475,55114797,538.0,价格过高,2025-10-22 02:01:09
10,55114797,55097189,568.0,价格过高,2025-10-22 02:01:14
11,55097189,55079581,568.0,价格过高,2025-10-22 02:01:18
12,55079581,55061973,568.0,价格过高,2025-10-22 02:01:21
13,55061973,55044365,568.0,价格过高,2025-10-22 02:01:25
14,55044365,55026757,568.0,价格过高,2025-10-22 02:01:29
15,55026757,55009769,548.0,价格过高,2025-10-22 02:01:33
16,55009769,54996811,418.0,购买成功(200x10),2025-10-22 02:01:39
17,54662411,54644493,578.0,价格过高,2025-10-22 02:01:43
18,54644493,54626575,578.0,价格过高,2025-10-22 02:01:47
19,54626575,54608967,568.0,价格过高,2025-10-22 02:01:51
20,54608967,54591359,568.0,价格过高,2025-10-22 02:01:55
21,54591359,54573441,578.0,价格过高,2025-10-22 02:01:59
22,54573441,54555833,568.0,价格过高,2025-10-22 02:02:03
23,54555833,54540395,498.0,价格过高,2025-10-22 02:02:07
24,54540395,54524957,498.0,价格过高,2025-10-22 02:02:11
25,54524957,54511379,438.0,购买成功(200x10),2025-10-22 02:02:17
26,54064979,54047061,578.0,价格过高,2025-10-22 02:02:21
27,54047061,54029453,568.0,价格过高,2025-10-22 02:02:25
28,54029453,54011845,568.0,价格过高,2025-10-22 02:02:29
29,54011845,53995477,528.0,价格过高,2025-10-22 02:02:33
30,53995477,53977559,578.0,价格过高,2025-10-22 02:02:36
31,53977559,53963981,438.0,购买成功(200x10),2025-10-22 02:02:43
32,53788781,53771173,568.0,价格过高,2025-10-22 02:02:46
33,53771173,53754805,528.0,价格过高,2025-10-22 02:02:50
34,53754805,53737197,568.0,价格过高,2025-10-22 02:02:54
35,53737197,53721449,508.0,价格过高,2025-10-22 02:02:58
36,53721449,53703531,578.0,价格过高,2025-10-22 02:03:02
37,53703531,53685613,578.0,价格过高,2025-10-22 02:03:06
38,53685613,53673585,388.0,购买成功(200x10),2025-10-22 02:03:12
39,53235185,53223157,388.0,购买成功(200x10),2025-10-22 02:03:18
40,52816757,52800389,528.0,价格过高,2025-10-22 02:03:22
41,52800389,52782781,568.0,价格过高,2025-10-22 02:03:26
42,52782781,52770753,388.0,购买成功(200x10),2025-10-22 02:03:32
43,52422353,52404435,578.0,价格过高,2025-10-22 02:03:36
44,52404435,52391787,408.0,购买成功(200x10),2025-10-22 02:03:42
45,51931387,51918739,408.0,购买成功(200x10),2025-10-22 02:03:49
46,51492339,51474731,568.0,价格过高,2025-10-22 02:03:53
47,51474731,51457123,568.0,价格过高,2025-10-22 02:03:56
48,51457123,51439515,568.0,价格过高,2025-10-22 02:04:00
49,51439515,51424077,498.0,价格过高,2025-10-22 02:04:04
50,51424077,51407089,548.0,价格过高,2025-10-22 02:04:08
51,51407089,51394441,408.0,购买成功(200x10),2025-10-22 02:04:14
52,50961121,50943823,558.0,价格过高,2025-10-22 02:04:18
53,50943823,50927145,538.0,价格过高,2025-10-22 02:04:22
54,50927145,50910467,538.0,价格过高,2025-10-22 02:04:26
55,50910467,50893479,548.0,价格过高,2025-10-22 02:04:30
56,50893479,50876491,548.0,价格过高,2025-10-22 02:04:34
57,50876491,50859503,548.0,价格过高,2025-10-22 02:04:38
58,50859503,50842515,548.0,价格过高,2025-10-22 02:04:42
59,50842515,50824907,568.0,价格过高,2025-10-22 02:04:46
60,50824907,50808229,538.0,价格过高,2025-10-22 02:04:50
61,50808229,50791551,538.0,价格过高,2025-10-22 02:04:54
62,50791551,50777973,438.0,购买成功(200x10),2025-10-22 02:05:00
63,50387573,50369965,568.0,价格过高,2025-10-22 02:05:04
64,50369965,50352047,578.0,价格过高,2025-10-22 02:05:08
65,50352047,50334749,558.0,价格过高,2025-10-22 02:05:11
66,50334749,50317141,568.0,价格过高,2025-10-22 02:05:15
67,50317141,50299223,578.0,价格过高,2025-10-22 02:05:19
68,50299223,50281615,568.0,价格过高,2025-10-22 02:05:23
69,50281615,50263697,578.0,价格过高,2025-10-22 02:05:27
70,50263697,50246089,568.0,价格过高,2025-10-22 02:05:31
71,50246089,50228171,578.0,价格过高,2025-10-22 02:05:36
72,50228171,50210563,568.0,价格过高,2025-10-22 02:05:40
73,50210563,50192645,578.0,价格过高,2025-10-22 02:05:44
74,50192645,50179067,438.0,购买成功(200x10),2025-10-22 02:05:50
75,49772667,49758159,468.0,价格过高,2025-10-22 02:05:54
76,49758159,49743651,468.0,价格过高,2025-10-22 02:05:58
77,49743651,49726663,548.0,价格过高,2025-10-22 02:06:02
78,49726663,49709055,568.0,价格过高,2025-10-22 02:06:06
79,49709055,49691757,558.0,价格过高,2025-10-22 02:06:10
80,49691757,49674459,558.0,价格过高,2025-10-22 02:06:14
81,49674459,49657161,558.0,价格过高,2025-10-22 02:06:18
82,49657161,49639863,558.0,价格过高,2025-10-22 02:06:22
83,49639863,49622875,548.0,价格过高,2025-10-22 02:06:26
84,49622875,49607747,488.0,价格过高,2025-10-22 02:06:30
85,49607747,49590449,558.0,价格过高,2025-10-22 02:06:34
86,49590449,49575321,488.0,价格过高,2025-10-22 02:06:38
87,49575321,49562983,398.0,购买成功(200x10),2025-10-22 02:06:44
88,49154583,49140075,468.0,价格过高,2025-10-22 02:06:49
89,49140075,49122777,558.0,价格过高,2025-10-22 02:06:53
90,49122777,49104549,588.0,价格过高,2025-10-22 02:06:57
91,49104549,49092211,398.0,购买成功(200x10),2025-10-22 02:07:04
92,48667811,48651443,528.0,价格过高,2025-10-22 02:07:07
93,48651443,48634145,558.0,价格过高,2025-10-22 02:07:11
94,48634145,48616847,558.0,价格过高,2025-10-22 02:07:15
95,48616847,48599549,558.0,价格过高,2025-10-22 02:07:19
96,48599549,48582251,558.0,价格过高,2025-10-22 02:07:23
97,48582251,48565883,528.0,价格过高,2025-10-22 02:07:27
98,48565883,48547965,578.0,价格过高,2025-10-22 02:07:32
99,48547965,48530667,558.0,价格过高,2025-10-22 02:07:36
100,48530667,48513059,568.0,价格过高,2025-10-22 02:07:40
101,48513059,48495711,559.6,价格过高,2025-10-22 02:07:44
102,48495711,48477173,598.0,价格过高,2025-10-22 02:07:48
103,48477173,48459565,568.0,价格过高,2025-10-22 02:07:52
104,48459565,48442267,558.0,价格过高,2025-10-22 02:07:56
105,48442267,48425899,528.0,价格过高,2025-10-22 02:08:00
106,48425899,48408291,568.0,价格过高,2025-10-22 02:08:04
107,48408291,48390373,578.0,价格过高,2025-10-22 02:08:08
108,48390373,48372765,568.0,价格过高,2025-10-22 02:08:12
109,48372765,48354847,578.0,价格过高,2025-10-22 02:08:16
110,48354847,48336929,578.0,价格过高,2025-10-22 02:08:20
111,48336929,48318701,588.0,价格过高,2025-10-22 02:08:24
112,48318701,48300473,588.0,价格过高,2025-10-22 02:08:28
113,48300473,48282555,578.0,价格过高,2025-10-22 02:08:32
114,48282555,48270527,388.0,购买成功(200x10),2025-10-22 02:08:38
115,47846127,47827899,588.0,价格过高,2025-10-22 02:08:42
116,47827899,47809981,578.0,价格过高,2025-10-22 02:08:46
117,47809981,47797953,388.0,购买成功(200x10),2025-10-22 02:08:52
118,47527443,47513865,438.0,购买成功(200x10),2025-10-22 02:08:58
119,47109465,47091857,568.0,价格过高,2025-10-22 02:09:03
120,47091857,47079829,388.0,购买成功(200x10),2025-10-22 02:09:09
121,46733029,46714801,588.0,价格过高,2025-10-22 02:09:13
122,46714801,46702773,388.0,购买成功(200x10),2025-10-22 02:09:19
123,46316373,46298765,568.0,价格过高,2025-10-22 02:09:23
124,46298765,46281467,558.0,价格过高,2025-10-22 02:09:27
125,46281467,46263859,568.0,价格过高,2025-10-22 02:09:31
126,46263859,46246251,568.0,价格过高,2025-10-22 02:09:35
127,46246251,46229573,538.0,价格过高,2025-10-22 02:09:38
128,46229573,46212895,538.0,价格过高,2025-10-22 02:09:42
129,46212895,46195287,568.0,价格过高,2025-10-22 02:09:46
130,46195287,46178609,538.0,价格过高,2025-10-22 02:09:50
131,46178609,46162861,508.0,价格过高,2025-10-22 02:09:55
132,46162861,46147733,488.0,价格过高,2025-10-22 02:09:59
133,46147733,46131985,508.0,价格过高,2025-10-22 02:10:03
134,46131985,46113757,588.0,价格过高,2025-10-22 02:10:07
135,46113757,46101729,388.0,购买成功(200x10),2025-10-22 02:10:13
136,45677329,45660651,538.0,价格过高,2025-10-22 02:10:17
137,45660651,45648623,388.0,购买成功(200x10),2025-10-22 02:10:23
138,45206223,45191095,488.0,价格过高,2025-10-22 02:10:27
139,45191095,45173177,578.0,价格过高,2025-10-22 02:10:32
140,45173177,45154949,588.0,价格过高,2025-10-22 02:10:36
141,45154949,45137031,578.0,价格过高,2025-10-22 02:10:40
142,45137031,45118803,588.0,价格过高,2025-10-22 02:10:44
143,45118803,45101505,558.0,价格过高,2025-10-22 02:10:48
144,45101505,45086377,488.0,价格过高,2025-10-22 02:10:52
145,45086377,45071249,488.0,价格过高,2025-10-22 02:10:56
146,45071249,45053331,578.0,价格过高,2025-10-22 02:11:00
147,45053331,45040373,418.0,购买成功(200x10),2025-10-22 02:11:06
148,44671973,44656845,488.0,价格过高,2025-10-22 02:11:10
