检测次数,购买前余额,购买后余额,单价,动作,时间
1,54030097,54017139,418.0,购买成功(200x3),2025-10-21 02:00:19
2,53933539,53916241,558.0,价格过高,2025-10-21 02:00:24
3,53916241,53899253,548.0,价格过高,2025-10-21 02:00:28
4,53899253,53882265,548.0,价格过高,2025-10-21 02:00:32
5,53882265,53865277,548.0,价格过高,2025-10-21 02:00:36
6,53865277,53852319,418.0,购买成功(200x3),2025-10-21 02:00:41
7,53768719,53751111,568.0,价格过高,2025-10-21 02:00:45
8,53751111,53734123,548.0,价格过高,2025-10-21 02:00:50
9,53734123,53717135,548.0,价格过高,2025-10-21 02:00:54
10,53717135,53702317,478.0,价格过高,2025-10-21 02:00:58
11,53702317,53685639,538.0,价格过高,2025-10-21 02:01:02
12,53685639,53668651,548.0,价格过高,2025-10-21 02:01:06
13,53668651,53651353,558.0,价格过高,2025-10-21 02:01:10
14,53651353,53637775,438.0,购买成功(200x3),2025-10-21 02:01:15
15,53550175,53532257,578.0,价格过高,2025-10-21 02:01:19
16,53532257,53517129,488.0,价格过高,2025-10-21 02:01:23
17,53517129,53502001,488.0,价格过高,2025-10-21 02:01:27
18,53502001,53484393,568.0,价格过高,2025-10-21 02:01:31
19,53484393,53467095,558.0,价格过高,2025-10-21 02:01:35
20,53467095,53449487,568.0,价格过高,2025-10-21 02:01:39
21,53449487,53434359,488.0,价格过高,2025-10-21 02:01:43
22,53434359,53420781,438.0,购买成功(200x3),2025-10-21 02:01:48
23,53333181,53318053,488.0,价格过高,2025-10-21 02:01:52
24,53318053,53300445,568.0,价格过高,2025-10-21 02:01:56
25,53300445,53286867,438.0,购买成功(200x3),2025-10-21 02:02:01
26,53199267,53181659,568.0,价格过高,2025-10-21 02:02:05
27,53181659,53167151,468.0,价格过高,2025-10-21 02:02:09
28,53167151,53149853,558.0,价格过高,2025-10-21 02:02:13
29,53149853,53132555,558.0,价格过高,2025-10-21 02:02:17
30,53132555,53115257,558.0,价格过高,2025-10-21 02:02:21
31,53115257,53097649,568.0,价格过高,2025-10-21 02:02:25
32,53097649,53084691,418.0,购买成功(200x3),2025-10-21 02:02:31
33,52969091,52953283,509.9,价格过高,2025-10-21 02:02:35
34,52953283,52935675,568.0,价格过高,2025-10-21 02:02:39
35,52935675,52918067,568.0,价格过高,2025-10-21 02:02:43
36,52918067,52903559,468.0,价格过高,2025-10-21 02:02:47
37,52903559,52886261,558.0,价格过高,2025-10-21 02:02:51
38,52886261,52868653,568.0,价格过高,2025-10-21 02:02:55
39,52868653,52850735,578.0,价格过高,2025-10-21 02:03:00
40,52850735,52832817,578.0,价格过高,2025-10-21 02:03:04
41,52832817,52815209,568.0,价格过高,2025-10-21 02:03:08
42,52815209,52797911,558.0,价格过高,2025-10-21 02:03:12
43,52797911,52784333,438.0,购买成功(200x3),2025-10-21 02:03:17
44,52672733,52655125,568.0,价格过高,2025-10-21 02:03:21
45,52655125,52637827,558.0,价格过高,2025-10-21 02:03:25
46,52637827,52620219,568.0,价格过高,2025-10-21 02:03:29
47,52620219,52602301,578.0,价格过高,2025-10-21 02:03:34
48,52602301,52585003,558.0,价格过高,2025-10-21 02:03:38
49,52585003,52567705,558.0,价格过高,2025-10-21 02:03:42
50,52567705,52552267,498.0,价格过高,2025-10-21 02:03:46
51,52552267,52538689,438.0,购买成功(200x3),2025-10-21 02:03:51
52,52439089,52421481,568.0,价格过高,2025-10-21 02:03:55
53,52421481,52403873,568.0,价格过高,2025-10-21 02:03:59
54,52403873,52386265,568.0,价格过高,2025-10-21 02:04:03
55,52386265,52370827,498.0,价格过高,2025-10-21 02:04:07
56,52370827,52353219,568.0,价格过高,2025-10-21 02:04:11
57,52353219,52335611,568.0,价格过高,2025-10-21 02:04:15
58,52335611,52318313,558.0,价格过高,2025-10-21 02:04:19
59,52318313,52300705,568.0,价格过高,2025-10-21 02:04:23
60,52300705,52283717,548.0,价格过高,2025-10-21 02:04:27
61,52283717,52268899,478.0,价格过高,2025-10-21 02:04:31
62,52268899,52251601,558.0,价格过高,2025-10-21 02:04:35
63,52251601,52233993,568.0,价格过高,2025-10-21 02:04:39
64,52233993,52216075,578.0,价格过高,2025-10-21 02:04:43
65,52216075,52202497,438.0,购买成功(200x3),2025-10-21 02:04:48
66,52106897,52089599,558.0,价格过高,2025-10-21 02:04:52
67,52089599,52072301,558.0,价格过高,2025-10-21 02:04:56
68,52072301,52054383,578.0,价格过高,2025-10-21 02:05:00
69,52054383,52036775,568.0,价格过高,2025-10-21 02:05:04
70,52036775,52018857,578.0,价格过高,2025-10-21 02:05:08
71,52018857,52001249,568.0,价格过高,2025-10-21 02:05:12
72,52001249,51983331,578.0,价格过高,2025-10-21 02:05:16
73,51983331,51968513,478.0,价格过高,2025-10-21 02:05:20
74,51968513,51950905,568.0,价格过高,2025-10-21 02:05:24
75,51950905,51933607,558.0,价格过高,2025-10-21 02:05:28
76,51933607,51921269,398.0,购买成功(200x3),2025-10-21 02:05:33
77,51841669,51824061,568.0,价格过高,2025-10-21 02:05:37
78,51824061,51811723,398.0,购买成功(200x3),2025-10-21 02:05:42
79,51698123,51685785,398.0,购买成功(200x3),2025-10-21 02:05:48
80,51606185,51591677,468.0,价格过高,2025-10-21 02:05:52
81,51591677,51574069,568.0,价格过高,2025-10-21 02:05:56
82,51574069,51556461,568.0,价格过高,2025-10-21 02:06:00
83,51556461,51539473,548.0,价格过高,2025-10-21 02:06:04
84,51539473,51521865,568.0,价格过高,2025-10-21 02:06:09
85,51521865,51509527,398.0,购买成功(200x3),2025-10-21 02:06:14
86,51399927,51387589,398.0,购买成功(200x3),2025-10-21 02:06:19
87,51307989,51290381,568.0,价格过高,2025-10-21 02:06:23
88,51290381,51275873,468.0,价格过高,2025-10-21 02:06:27
89,51275873,51258265,568.0,价格过高,2025-10-21 02:06:31
90,51258265,51243757,468.0,价格过高,2025-10-21 02:06:35
91,51243757,51225839,578.0,价格过高,2025-10-21 02:06:40
92,51225839,51208851,548.0,价格过高,2025-10-21 02:06:44
93,51208851,51191243,568.0,价格过高,2025-10-21 02:06:48
94,51191243,51173635,568.0,价格过高,2025-10-21 02:06:53
95,51173635,51156027,568.0,价格过高,2025-10-21 02:06:57
96,51156027,51138419,568.0,价格过高,2025-10-21 02:07:01
