检测次数,购买前余额,购买后余额,单价,动作,时间
1,51499884,51482896,548.0,价格过高,2025-10-20 02:00:22
2,51482896,51465598,558.0,价格过高,2025-10-20 02:00:26
3,51465598,51448300,558.0,价格过高,2025-10-20 02:00:30
4,51448300,51435652,408.0,购买成功(200x3),2025-10-20 02:00:35
5,51354052,51340474,438.0,购买成功(200x3),2025-10-20 02:00:40
6,51252874,51235576,558.0,价格过高,2025-10-20 02:00:44
7,51235576,51217968,568.0,价格过高,2025-10-20 02:00:48
8,51217968,51200360,568.0,价格过高,2025-10-20 02:00:52
9,51200360,51183062,558.0,价格过高,2025-10-20 02:00:56
10,51183062,51168554,468.0,价格过高,2025-10-20 02:01:01
11,51168554,51150946,568.0,价格过高,2025-10-20 02:01:05
12,51150946,51133648,558.0,价格过高,2025-10-20 02:01:09
13,51133648,51116040,568.0,价格过高,2025-10-20 02:01:13
14,51116040,51100292,508.0,价格过高,2025-10-20 02:01:17
15,51100292,51085784,468.0,价格过高,2025-10-20 02:01:21
16,51085784,51069416,528.0,价格过高,2025-10-20 02:01:25
17,51069416,51053668,508.0,价格过高,2025-10-20 02:01:29
18,51053668,51036370,558.0,价格过高,2025-10-20 02:01:33
19,51036370,51020622,508.0,价格过高,2025-10-20 02:01:37
20,51020622,51004874,508.0,价格过高,2025-10-20 02:01:42
21,51004874,50988506,528.0,价格过高,2025-10-20 02:01:46
22,50988506,50972758,508.0,价格过高,2025-10-20 02:01:50
23,50972758,50956390,528.0,价格过高,2025-10-20 02:01:55
24,50956390,50940022,528.0,价格过高,2025-10-20 02:01:59
25,50940022,50922724,558.0,价格过高,2025-10-20 02:02:03
26,50922724,50905736,548.0,价格过高,2025-10-20 02:02:07
27,50905736,50888438,558.0,价格过高,2025-10-20 02:02:11
28,50888438,50870830,568.0,价格过高,2025-10-20 02:02:15
29,50870830,50853532,558.0,价格过高,2025-10-20 02:02:19
30,50853532,50835924,568.0,价格过高,2025-10-20 02:02:23
31,50835924,50818626,558.0,价格过高,2025-10-20 02:02:27
32,50818626,50801948,538.0,价格过高,2025-10-20 02:02:31
33,50801948,50784960,548.0,价格过高,2025-10-20 02:02:35
34,50784960,50771692,428.0,购买成功(200x3),2025-10-20 02:02:40
35,50771692,50754084,568.0,价格过高,2025-10-20 02:02:44
36,50754084,50740816,428.0,购买成功(200x3),2025-10-20 02:02:49
37,50655216,50639468,508.0,价格过高,2025-10-20 02:02:53
38,50639468,50622480,548.0,价格过高,2025-10-20 02:02:57
39,50622480,50605182,558.0,价格过高,2025-10-20 02:03:01
40,50605182,50590984,458.0,价格过高,2025-10-20 02:03:05
41,50590984,50573686,558.0,价格过高,2025-10-20 02:03:09
42,50573686,50559488,458.0,价格过高,2025-10-20 02:03:13
43,50559488,50542190,558.0,价格过高,2025-10-20 02:03:17
44,50542190,50524582,568.0,价格过高,2025-10-20 02:03:21
45,50524582,50507284,558.0,价格过高,2025-10-20 02:03:25
46,50507284,50489986,558.0,价格过高,2025-10-20 02:03:29
47,50489986,50475788,458.0,价格过高,2025-10-20 02:03:33
48,50475788,50458180,568.0,价格过高,2025-10-20 02:03:37
49,50458180,50441192,548.0,价格过高,2025-10-20 02:03:41
50,50441192,50426994,458.0,价格过高,2025-10-20 02:03:45
51,50426994,50409696,558.0,价格过高,2025-10-20 02:03:49
52,50409696,50392708,548.0,价格过高,2025-10-20 02:03:53
53,50392708,50375720,548.0,价格过高,2025-10-20 02:03:57
54,50375720,50358732,548.0,价格过高,2025-10-20 02:04:01
55,50358732,50341744,548.0,价格过高,2025-10-20 02:04:06
56,50341744,50327236,468.0,价格过高,2025-10-20 02:04:10
57,50327236,50309938,558.0,价格过高,2025-10-20 02:04:14
58,50309938,50292950,548.0,价格过高,2025-10-20 02:04:18
59,50292950,50275962,548.0,价格过高,2025-10-20 02:04:22
60,50275962,50258664,558.0,价格过高,2025-10-20 02:04:26
61,50258664,50241676,548.0,价格过高,2025-10-20 02:04:30
62,50241676,50224688,548.0,价格过高,2025-10-20 02:04:34
63,50224688,50207390,558.0,价格过高,2025-10-20 02:04:38
64,50207390,50190092,558.0,价格过高,2025-10-20 02:04:42
