时间戳,总价,单价,行为,配置
2025-10-25 00:59:11,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:12,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:12,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:13,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:13,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:14,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:15,14800,105,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:15,14008,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:16,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:16,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:17,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:18,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:18,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:19,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:19,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:20,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:21,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:21,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:22,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:22,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:23,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
2025-10-25 00:59:24,14000,100,价格过高,"目标价格:80,最低价格:60,子弹数量:140"
