检测次数,购买前余额,购买后余额,单价,动作,时间
1,29824347,29807979,528.0,价格过高,2025-10-15 02:00:13
2,29807979,29792231,508.0,价格过高,2025-10-15 02:00:19
3,29792231,29776483,508.0,价格过高,2025-10-15 02:00:25
4,29776483,29760425,518.0,价格过高,2025-10-15 02:00:31
5,29760425,29744677,508.0,价格过高,2025-10-15 02:00:37
6,29744677,29731409,428.0,购买成功(200x5),2025-10-15 02:00:45
7,29442609,29427791,478.0,价格过高,2025-10-15 02:00:51
8,29427791,29412973,478.0,价格过高,2025-10-15 02:00:58
9,29412973,29396915,518.0,价格过高,2025-10-15 02:01:04
10,29396915,29381167,508.0,价格过高,2025-10-15 02:01:10
11,29381167,29367899,428.0,购买成功(200x5),2025-10-15 02:01:18
12,29101099,29087831,428.0,购买成功(200x5),2025-10-15 02:01:26
13,28785031,28771763,428.0,购买成功(200x5),2025-10-15 02:01:34
14,28561963,28546215,508.0,价格过高,2025-10-15 02:01:40
15,28546215,28533877,398.0,购买成功(200x5),2025-10-15 02:01:48
16,28243077,28227639,498.0,价格过高,2025-10-15 02:01:54
17,28227639,28215301,398.0,购买成功(200x5),2025-10-15 02:02:02
18,27944501,27928333,521.5,价格过高,2025-10-15 02:02:08
19,27928333,27915995,398.0,购买成功(200x5),2025-10-15 02:02:16
20,27613195,27598377,478.0,价格过高,2025-10-15 02:02:22
21,27598377,27582319,518.0,价格过高,2025-10-15 02:02:29
22,27582319,27567501,478.0,价格过高,2025-10-15 02:02:35
23,27567501,27553923,438.0,购买成功(200x5),2025-10-15 02:02:43
24,27257123,27240755,528.0,价格过高,2025-10-15 02:02:49
25,27240755,27227177,438.0,购买成功(200x5),2025-10-15 02:02:57
26,26946377,26932799,438.0,购买成功(200x5),2025-10-15 02:03:05
27,26622059,26605691,528.0,价格过高,2025-10-15 02:03:11
28,26605691,26589633,518.0,价格过高,2025-10-15 02:03:17
29,26589633,26573805,510.6,价格过高,2025-10-15 02:03:23
30,26573805,26559297,468.0,价格过高,2025-10-15 02:03:29
31,26559297,26543019,525.1,价格过高,2025-10-15 02:03:36
32,26543019,26530061,418.0,购买成功(200x5),2025-10-15 02:03:44
33,26220161,26203793,528.0,价格过高,2025-10-15 02:03:50
34,26203793,26190835,418.0,购买成功(200x5),2025-10-15 02:03:58
35,25874035,25858907,488.0,价格过高,2025-10-15 02:04:04
36,25858907,25843779,488.0,价格过高,2025-10-15 02:04:10
37,25843779,25827411,528.0,价格过高,2025-10-15 02:04:16
38,25827411,25812283,488.0,价格过高,2025-10-15 02:04:22
39,25812283,25799325,418.0,购买成功(200x5),2025-10-15 02:04:30
40,25548525,25535567,418.0,购买成功(200x5),2025-10-15 02:04:38
41,25250767,25234709,518.0,价格过高,2025-10-15 02:04:44
42,25234709,25221751,418.0,购买成功(200x5),2025-10-15 02:04:55
43,24922951,24907513,498.0,价格过高,2025-10-15 02:05:01
44,24907513,24894555,418.0,购买成功(200x5),2025-10-15 02:05:09
45,24621755,24606317,498.0,价格过高,2025-10-15 02:05:15
46,24606317,24590879,498.0,价格过高,2025-10-15 02:05:22
47,24590879,24574511,528.0,价格过高,2025-10-15 02:05:28
48,24574511,24561553,418.0,购买成功(200x5),2025-10-15 02:05:36
49,24290753,24275625,488.0,价格过高,2025-10-15 02:05:42
50,24275625,24262667,418.0,购买成功(200x5),2025-10-15 02:05:50
51,23959867,23943809,518.0,价格过高,2025-10-15 02:05:56
52,23943809,23928991,478.0,价格过高,2025-10-15 02:06:02
53,23928991,23916033,418.0,购买成功(200x5),2025-10-15 02:06:10
54,23649283,23636325,418.0,购买成功(200x5),2025-10-15 02:06:18
55,23367155,23354197,418.0,购买成功(200x5),2025-10-15 02:06:26
56,23051197,23036069,488.0,价格过高,2025-10-15 02:06:32
57,23036069,23020321,508.0,价格过高,2025-10-15 02:06:38
58,23020321,23004263,518.0,价格过高,2025-10-15 02:06:47
59,23004263,22988205,518.0,价格过高,2025-10-15 02:06:53
60,22988205,22971837,528.0,价格过高,2025-10-15 02:07:00
61,22971837,22955779,518.0,价格过高,2025-10-15 02:07:06
62,22955779,22939411,528.0,价格过高,2025-10-15 02:07:12
63,22939411,22923353,518.0,价格过高,2025-10-15 02:07:18
64,22923353,22911015,398.0,购买成功(200x5),2025-10-15 02:07:26
65,22626215,22610157,518.0,价格过高,2025-10-15 02:07:32
66,22610157,22594719,498.0,价格过高,2025-10-15 02:07:38
67,22594719,22579591,488.0,价格过高,2025-10-15 02:07:44
68,22579591,22563533,518.0,价格过高,2025-10-15 02:07:51
69,22563533,22548095,498.0,价格过高,2025-10-15 02:07:57
70,22548095,22532967,488.0,价格过高,2025-10-15 02:08:03
71,22532967,22517839,488.0,价格过高,2025-10-15 02:08:09
