检测次数,购买前余额,购买后余额,单价,动作,时间
1,14223958,14208210,508.0,价格过高,2025-10-13 03:11:02
2,14208210,14195562,408.0,购买成功(200x5),2025-10-13 03:11:09
3,13892072,13875984,519.0,价格过高,2025-10-13 03:11:15
4,13875984,13860236,508.0,价格过高,2025-10-13 03:11:24
5,13860236,13844488,508.0,价格过高,2025-10-13 03:11:30
6,13844488,13831220,428.0,购买成功(200x5),2025-10-13 03:11:41
7,13538420,13522672,508.0,价格过高,2025-10-13 03:11:50
8,13522672,13506924,508.0,价格过高,2025-10-13 03:11:56
9,13506924,13493656,428.0,购买成功(200x5),2025-10-13 03:12:03
10,13206856,13191108,508.0,价格过高,2025-10-13 03:12:09
11,13191108,13177840,428.0,购买成功(200x5),2025-10-13 03:12:17
12,12921040,12907772,428.0,购买成功(200x5),2025-10-13 03:12:25
13,12610972,12594294,538.0,价格过高,2025-10-13 03:12:31
14,12594294,12577616,538.0,价格过高,2025-10-13 03:12:37
15,12577616,12560938,538.0,价格过高,2025-10-13 03:12:43
16,12560938,12548290,408.0,购买成功(200x5),2025-10-13 03:12:51
17,12303490,12288362,488.0,价格过高,2025-10-13 03:12:57
18,12288362,12273234,488.0,价格过高,2025-10-13 03:13:03
19,12273234,12260586,408.0,购买成功(200x5),2025-10-13 03:13:11
20,11967786,11952658,488.0,价格过高,2025-10-13 03:13:17
21,11952658,11937530,488.0,价格过高,2025-10-13 03:13:23
22,11937530,11923952,438.0,购买成功(200x5),2025-10-13 03:13:31
23,11631152,11616024,488.0,价格过高,2025-10-13 03:13:37
24,11616024,11602446,438.0,购买成功(200x5),2025-10-13 03:13:44
25,11427246,11410568,538.0,价格过高,2025-10-13 03:13:50
26,11410568,11395440,488.0,价格过高,2025-10-13 03:13:57
27,11395440,11380312,488.0,价格过高,2025-10-13 03:14:03
28,11380312,11365184,488.0,价格过高,2025-10-13 03:14:09
29,11365184,11351606,438.0,购买成功(200x5),2025-10-13 03:14:16
30,11052806,11037678,488.0,价格过高,2025-10-13 03:14:22
31,11037678,11022550,488.0,价格过高,2025-10-13 03:14:29
32,11022550,11006182,528.0,价格过高,2025-10-13 03:14:35
33,11006182,10993224,418.0,购买成功(200x5),2025-10-13 03:14:42
34,10718424,10702676,508.0,价格过高,2025-10-13 03:14:48
35,10702676,10685998,538.0,价格过高,2025-10-13 03:14:54
36,10685998,10672730,428.0,购买成功(200x5),2025-10-13 03:15:02
37,10419930,10406972,418.0,购买成功(200x5),2025-10-13 03:15:10
38,10144892,10131624,428.0,购买成功(200x5),2025-10-13 03:15:18
39,9823504,9810236,428.0,购买成功(200x5),2025-10-13 03:15:25
40,9505436,9489068,528.0,价格过高,2025-10-13 03:15:32
41,9489068,9475800,428.0,购买成功(200x5),2025-10-13 03:15:39
42,9219000,9203252,508.0,价格过高,2025-10-13 03:15:45
43,9203252,9188434,478.0,购买成功(200x5),2025-10-13 03:15:53
44,8901634,8885886,508.0,价格过高,2025-10-13 03:15:59
45,8885886,8869518,528.0,价格过高,2025-10-13 03:16:05
46,8869518,8854700,478.0,购买成功(200x5),2025-10-13 03:16:13
47,8663740,8648922,478.0,购买成功(200x5),2025-10-13 03:16:21
48,8344122,8328374,508.0,价格过高,2025-10-13 03:16:27
49,8328374,8312626,508.0,价格过高,2025-10-13 03:16:33
50,8312626,8297808,478.0,购买成功(200x5),2025-10-13 03:16:40
51,8011008,7995260,508.0,价格过高,2025-10-13 03:16:47
52,7995260,7981682,438.0,购买成功(200x5),2025-10-13 03:16:54
53,7689246,7674428,478.0,购买成功(200x5),2025-10-13 03:17:08
54,7387628,7374050,438.0,购买成功(200x5),2025-10-13 03:17:15
55,7089250,7074432,478.0,购买成功(200x5),2025-10-13 03:17:26
56,6773932,6759734,458.0,购买成功(200x5),2025-10-13 03:17:34
