检测次数,购买前余额,购买后余额,单价,动作,时间
1,16204834,16192186,408.0,购买成功(200x7),2025-10-13 03:08:49
2,15799786,15783418,528.0,价格过高,2025-10-13 03:08:56
3,15783418,15768600,478.0,购买成功(200x7),2025-10-13 03:09:05
4,15386200,15369832,528.0,价格过高,2025-10-13 03:09:12
5,15369832,15355014,478.0,购买成功(200x7),2025-10-13 03:09:24
6,14960614,14944246,528.0,价格过高,2025-10-13 03:09:31
7,14944246,14927568,538.0,价格过高,2025-10-13 03:09:41
8,14927568,14913990,438.0,购买成功(200x7),2025-10-13 03:09:50
9,14634900,14618222,538.0,价格过高,2025-10-13 03:09:57
10,14618222,14601544,538.0,价格过高,2025-10-13 03:10:05
11,14601544,14585176,528.0,价格过高,2025-10-13 03:10:12
12,14585176,14571598,438.0,购买成功(200x7),2025-10-13 03:10:21
